#ID                             RA                DEC
UVUDF_16                 53.1645966 -27.83115894
UVUDF_19                 53.1634847 -27.83106073
UVUDF_21                 53.1650584 -27.83085750
UVUDF_24                 53.1650763 -27.83073556
UVUDF_30                 53.1648803 -27.83043189
UVUDF_35                 53.1661968 -27.82980503
UVUDF_37                 53.1661187 -27.82979681
UVUDF_38                 53.1641681 -27.82980975
UVUDF_39                 53.1655637 -27.82966829
UVUDF_40                 53.1649161 -27.82948786
UVUDF_45                 53.1644916 -27.82928952
UVUDF_46                 53.1620991 -27.82922091
UVUDF_47                 53.1632011 -27.82921768
UVUDF_48                 53.1629619 -27.82914262
UVUDF_53                 53.1625344 -27.82908660
UVUDF_55                 53.1642845 -27.82891014
UVUDF_57                 53.1629159 -27.82886329
UVUDF_62                 53.1662179 -27.82859313
UVUDF_70                 53.1605947 -27.82830701
UVUDF_76                 53.1607507 -27.82803697
UVUDF_78                 53.1643737 -27.82783333
UVUDF_81                 53.1642801 -27.82782991
UVUDF_82                 53.1669867 -27.82786986
UVUDF_90                 53.1633359 -27.82764836
UVUDF_91                 53.1661822 -27.82761985
UVUDF_95                 53.1662605 -27.82757392
UVUDF_97                 53.1682429 -27.82751277
UVUDF_104                53.1661792 -27.82729664
UVUDF_105                53.1648535 -27.82723569
UVUDF_108                53.1669411 -27.82715933
UVUDF_110                53.1641872 -27.82707325
UVUDF_114                53.1644246 -27.82696062
UVUDF_119                53.1599032 -27.82700487
UVUDF_121                53.1597331 -27.82690989
UVUDF_123                53.1652299 -27.82683178
UVUDF_127                53.1672453 -27.82686131
UVUDF_129                53.1644505 -27.82677796
UVUDF_130                53.1620542 -27.82670265
UVUDF_132                53.1652687 -27.82671122
UVUDF_133                53.1667309 -27.82664301
UVUDF_134                53.1689186 -27.82664967
UVUDF_136                53.1677209 -27.82654553
UVUDF_140                53.1695946 -27.82645104
UVUDF_143                53.1604302 -27.82631343
UVUDF_145                53.1625253 -27.82655431
UVUDF_147                53.1586575 -27.82612136
UVUDF_148                53.1644227 -27.82641122
UVUDF_150                53.1599658 -27.82640165
UVUDF_153                53.1610227 -27.82612641
UVUDF_155                53.1585616 -27.82630170
UVUDF_157                53.1592470 -27.82621105
UVUDF_158                53.1645392 -27.82621171
UVUDF_159                53.1694315 -27.82607719
UVUDF_163                53.1627115 -27.82609648
UVUDF_167                53.1663139 -27.82579358
UVUDF_168                53.1703122 -27.82593496
UVUDF_171                53.1647068 -27.82573370
UVUDF_173                53.1609565 -27.82574728
UVUDF_177                53.1698357 -27.82566940
UVUDF_178                53.1580837 -27.82564684
UVUDF_179                53.1685806 -27.82562339
UVUDF_182                53.1662456 -27.82562315
UVUDF_185                53.1676918 -27.82542102
UVUDF_186                53.1692402 -27.82549331
UVUDF_195                53.1706572 -27.82518473
UVUDF_196                53.1594649 -27.82523256
UVUDF_198                53.1666897 -27.82521525
UVUDF_202                53.1571520 -27.82507729
UVUDF_205                53.1695395 -27.82514062
UVUDF_215                53.1705451 -27.82466505
UVUDF_216                53.1638360 -27.82476948
UVUDF_220                53.1710360 -27.82471973
UVUDF_222                53.1711300 -27.82468596
UVUDF_223                53.1570223 -27.82477421
UVUDF_227                53.1685629 -27.82459763
UVUDF_230                53.1634748 -27.82436630
UVUDF_237                53.1561966 -27.82438954
UVUDF_240                53.1604896 -27.82440067
UVUDF_241                53.1673979 -27.82427796
UVUDF_243                53.1664028 -27.82435068
UVUDF_244                53.1601942 -27.82427092
UVUDF_245                53.1671323 -27.82419095
UVUDF_246                53.1686513 -27.82426492
UVUDF_248                53.1574202 -27.82420174
UVUDF_249                53.1628418 -27.82415578
UVUDF_250                53.1610271 -27.82404663
UVUDF_252                53.1635644 -27.82405868
UVUDF_254                53.1709909 -27.82407393
UVUDF_256                53.1567100 -27.82407245
UVUDF_263                53.1584600 -27.82392786
UVUDF_264                53.1676996 -27.82392156
UVUDF_265                53.1674129 -27.82393256
UVUDF_267                53.1674125 -27.82380897
UVUDF_268                53.1658578 -27.82385865
UVUDF_270                53.1689745 -27.82378320
UVUDF_272                53.1568405 -27.82383640
UVUDF_274                53.1597276 -27.82376637
UVUDF_275                53.1572003 -27.82378702
UVUDF_276                53.1555379 -27.82369882
UVUDF_277                53.1572162 -27.82371202
UVUDF_279                53.1614368 -27.82378387
UVUDF_280                53.1561093 -27.82374050
UVUDF_281                53.1653709 -27.82369663
UVUDF_282                53.1673772 -27.82368059
UVUDF_283                53.1562233 -27.82360416
UVUDF_284                53.1612725 -27.82366892
UVUDF_285                53.1640017 -27.82359159
UVUDF_287                53.1715217 -27.82353947
UVUDF_288                53.1717706 -27.82360143
UVUDF_292                53.1705225 -27.82353906
UVUDF_293                53.1670390 -27.82350250
UVUDF_296                53.1658315 -27.82344886
UVUDF_298                53.1686145 -27.82343331
UVUDF_299                53.1606183 -27.82344442
UVUDF_301                53.1691806 -27.82335358
UVUDF_302                53.1658929 -27.82343969
UVUDF_303                53.1704773 -27.82337139
UVUDF_305                53.1654956 -27.82320333
UVUDF_309                53.1656517 -27.82334218
UVUDF_310                53.1687985 -27.82333783
UVUDF_312                53.1688498 -27.82311574
UVUDF_313                53.1661463 -27.82326758
UVUDF_316                53.1584556 -27.82325631
UVUDF_318                53.1654278 -27.82314757
UVUDF_321                53.1700330 -27.82308745
UVUDF_325                53.1648696 -27.82316138
UVUDF_326                53.1726381 -27.82314096
UVUDF_327                53.1585241 -27.82303140
UVUDF_330                53.1550063 -27.82308560
UVUDF_332                53.1712638 -27.82281521
UVUDF_333                53.1638434 -27.82301203
UVUDF_334                53.1709243 -27.82283882
UVUDF_335                53.1649376 -27.82285592
UVUDF_336                53.1560993 -27.82292167
UVUDF_338                53.1729843 -27.82272286
UVUDF_339                53.1587066 -27.82282471
UVUDF_340                53.1593701 -27.82282861
UVUDF_342                53.1684334 -27.82269300
UVUDF_343                53.1564964 -27.82275846
UVUDF_344                53.1590220 -27.82282336
UVUDF_345                53.1672612 -27.82282021
UVUDF_346                53.1578088 -27.82272968
UVUDF_347                53.1617330 -27.82274579
UVUDF_348                53.1609132 -27.82275488
UVUDF_349                53.1589971 -27.82274688
UVUDF_352                53.1564952 -27.82265827
UVUDF_354                53.1714848 -27.82266209
UVUDF_355                53.1721732 -27.82267299
UVUDF_357                53.1688254 -27.82265882
UVUDF_358                53.1682921 -27.82262404
UVUDF_363                53.1592512 -27.82250234
UVUDF_365                53.1621549 -27.82255088
UVUDF_366                53.1639191 -27.82255712
UVUDF_369                53.1712877 -27.82241639
UVUDF_372                53.1560342 -27.82245066
UVUDF_375                53.1587201 -27.82247667
UVUDF_376                53.1597296 -27.82239470
UVUDF_377                53.1577960 -27.82242512
UVUDF_379                53.1563583 -27.82239731
UVUDF_381                53.1618846 -27.82240230
UVUDF_382                53.1733898 -27.82238231
UVUDF_383                53.1721944 -27.82234844
UVUDF_385                53.1629418 -27.82230231
UVUDF_388                53.1595486 -27.82228153
UVUDF_390                53.1710574 -27.82218508
UVUDF_394                53.1545492 -27.82214439
UVUDF_398                53.1637445 -27.82214907
UVUDF_399                53.1552538 -27.82212481
UVUDF_400                53.1650921 -27.82213957
UVUDF_402                53.1677874 -27.82211086
UVUDF_405                53.1582675 -27.82204587
UVUDF_406                53.1691297 -27.82199163
UVUDF_407                53.1602869 -27.82204246
UVUDF_408                53.1575264 -27.82200302
UVUDF_409                53.1603218 -27.82200107
UVUDF_411                53.1743602 -27.82184386
UVUDF_414                53.1692045 -27.82195157
UVUDF_416                53.1736368 -27.82172214
UVUDF_417                53.1549123 -27.82186303
UVUDF_421                53.1555214 -27.82184506
UVUDF_424                53.1739052 -27.82173166
UVUDF_425                53.1583438 -27.82172768
UVUDF_428                53.1555464 -27.82170175
UVUDF_429                53.1662558 -27.82168702
UVUDF_430                53.1601949 -27.82164339
UVUDF_431                53.1534649 -27.82164426
UVUDF_432                53.1561882 -27.82162031
UVUDF_433                53.1524805 -27.82134357
UVUDF_435                53.1589280 -27.82134734
UVUDF_436                53.1603857 -27.82132826
UVUDF_438                53.1631583 -27.82148931
UVUDF_440                53.1621168 -27.82148050
UVUDF_441                53.1530328 -27.82147640
UVUDF_442                53.1703428 -27.82141947
UVUDF_443                53.1603646 -27.82138900
UVUDF_444                53.1620292 -27.82143196
UVUDF_448                53.1537498 -27.82135213
UVUDF_451                53.1622596 -27.82129406
UVUDF_453                53.1666765 -27.82125636
UVUDF_455                53.1603243 -27.82124822
UVUDF_456                53.1698339 -27.82124228
UVUDF_458                53.1598986 -27.82122805
UVUDF_459                53.1740920 -27.82107365
UVUDF_462                53.1638218 -27.82117672
UVUDF_463                53.1703290 -27.82115267
UVUDF_464                53.1634602 -27.82101956
UVUDF_466                53.1598768 -27.82108909
UVUDF_467                53.1660535 -27.82112012
UVUDF_468                53.1738383 -27.82108918
UVUDF_469                53.1598993 -27.82090125
UVUDF_470                53.1703834 -27.82103719
UVUDF_471                53.1651133 -27.82099277
UVUDF_473                53.1597806 -27.82098160
UVUDF_479                53.1540556 -27.82087128
UVUDF_481                53.1644533 -27.82096534
UVUDF_483                53.1697382 -27.82092121
UVUDF_484                53.1642868 -27.82092280
UVUDF_486                53.1702571 -27.82061448
UVUDF_487                53.1656238 -27.82086315
UVUDF_489                53.1717779 -27.82085211
UVUDF_490                53.1622044 -27.82078823
UVUDF_491                53.1628219 -27.82084600
UVUDF_493                53.1599165 -27.82064427
UVUDF_494                53.1627451 -27.82074777
UVUDF_496                53.1748668 -27.82062026
UVUDF_498                53.1676497 -27.82071721
UVUDF_502                53.1706352 -27.82060612
UVUDF_504                53.1703416 -27.82052031
UVUDF_505                53.1720623 -27.82052702
UVUDF_506                53.1672927 -27.82053286
UVUDF_507                53.1729254 -27.82053010
UVUDF_508                53.1544538 -27.82049210
UVUDF_512                53.1708354 -27.82049680
UVUDF_513                53.1697183 -27.82032478
UVUDF_516                53.1653728 -27.82045925
UVUDF_518                53.1710262 -27.82039535
UVUDF_520                53.1546315 -27.82040708
UVUDF_521                53.1554917 -27.82042591
UVUDF_524                53.1727235 -27.82036684
UVUDF_527                53.1709004 -27.82029707
UVUDF_530                53.1699826 -27.82020905
UVUDF_531                53.1754502 -27.81980120
UVUDF_533                53.1632870 -27.82031566
UVUDF_538                53.1516418 -27.82020814
UVUDF_539                53.1753582 -27.82013945
UVUDF_544                53.1731899 -27.81999554
UVUDF_545                53.1560441 -27.82012992
UVUDF_546                53.1759493 -27.82014005
UVUDF_548                53.1686393 -27.82008461
UVUDF_549                53.1565837 -27.82010393
UVUDF_555                53.1741729 -27.82001552
UVUDF_558                53.1597941 -27.82000072
UVUDF_559                53.1734970 -27.81999202
UVUDF_560                53.1725564 -27.81966117
UVUDF_564                53.1723645 -27.81984460
UVUDF_565                53.1527794 -27.81993073
UVUDF_566                53.1607241 -27.81991272
UVUDF_567                53.1595795 -27.81989186
UVUDF_571                53.1552658 -27.81982758
UVUDF_576                53.1531906 -27.81957194
UVUDF_577                53.1723041 -27.81965606
UVUDF_578                53.1604960 -27.81974271
UVUDF_581                53.1531361 -27.81965255
UVUDF_585                53.1616675 -27.81960058
UVUDF_586                53.1525238 -27.81960812
UVUDF_587                53.1743214 -27.81955872
UVUDF_589                53.1703838 -27.81959060
UVUDF_591                53.1622715 -27.81951917
UVUDF_594                53.1581388 -27.81951919
UVUDF_595                53.1710701 -27.81954996
UVUDF_596                53.1584656 -27.81946674
UVUDF_598                53.1503033 -27.81948431
UVUDF_599                53.1689942 -27.81949087
UVUDF_600                53.1502376 -27.81943130
UVUDF_601                53.1589905 -27.81947098
UVUDF_603                53.1576554 -27.81943264
UVUDF_604                53.1560506 -27.81941463
UVUDF_606                53.1559712 -27.81937714
UVUDF_607                53.1690076 -27.81937666
UVUDF_609                53.1746574 -27.81930291
UVUDF_611                53.1686676 -27.81929503
UVUDF_612                53.1712040 -27.81934863
UVUDF_613                53.1684791 -27.81933961
UVUDF_616                53.1505079 -27.81925692
UVUDF_617                53.1687332 -27.81875272
UVUDF_618                53.1748708 -27.81919369
UVUDF_619                53.1704562 -27.81922790
UVUDF_620                53.1737639 -27.81915354
UVUDF_621                53.1716796 -27.81921220
UVUDF_622                53.1539476 -27.81918533
UVUDF_623                53.1682193 -27.81915184
UVUDF_627                53.1635944 -27.81907699
UVUDF_630                53.1721799 -27.81906616
UVUDF_631                53.1677478 -27.81902811
UVUDF_632                53.1728484 -27.81879284
UVUDF_634                53.1504347 -27.81904151
UVUDF_635                53.1627055 -27.81896833
UVUDF_636                53.1691887 -27.81897521
UVUDF_639                53.1535853 -27.81897977
UVUDF_640                53.1673416 -27.81891965
UVUDF_641                53.1610840 -27.81889249
UVUDF_642                53.1772509 -27.81889806
UVUDF_644                53.1758079 -27.81891217
UVUDF_646                53.1622949 -27.81886888
UVUDF_648                53.1600303 -27.81877601
UVUDF_658                53.1512520 -27.81866185
UVUDF_659                53.1521752 -27.81870314
UVUDF_660                53.1556902 -27.81870438
UVUDF_661                53.1663738 -27.81869680
UVUDF_662                53.1749693 -27.81873740
UVUDF_664                53.1523600 -27.81869991
UVUDF_665                53.1580179 -27.81859817
UVUDF_667                53.1710191 -27.81863159
